reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2021.2284","feed materials","feed","Salmonella spp. in fish meal","07-05-2021 11:39:38","Spain","border rejection notification","not serious","","","","","","",""
"2021.2185","fish and products thereof ","food","Mercury in swordfish (Xiphias gladius) from Spain","03-05-2021 12:57:48","Italy","information notification for attention","serious","","","","","","",""
"2021.2109","feed materials","feed","Salmonella spp. in fish meal","28-04-2021 09:15:22","Spain","information notification for attention","not serious","","","","","","",""
"2021.2088","fish and products thereof ","food","mercury in chilled fish fillets (Seriola carpenteri) from Côte d'Ivoire","27-04-2021 08:43:09","France","information notification for attention","serious","","","","","","",""
"2021.1986","fish and products thereof ","food","Glass fragments in fish product (herring in tomato sauce) from the Czech Republic","21-04-2021 17:13:10","Austria","alert notification","serious","","","","","","",""
"2021.1916","fish and products thereof ","food","Pescado rotura cadena frío de Marruecos / Poor Temperature control - rupture of the cold chain - of frozen fish from Morocco.","19-04-2021 12:41:47","Spain","border rejection notification","not serious","","","","","","",""
"2021.1886","prepared dishes and snacks","food","Cheese croquette contains allergen shellfish","16-04-2021 11:20:41","Netherlands","alert notification","serious","","","","","","",""
"2021.1856","fish and products thereof ","food","Allergen shellfish is missing on the label","14-04-2021 15:46:19","Netherlands","alert notification","serious","","","","","","",""
"2021.1786","fish and products thereof ","food","Altered organoleptic characteristics Swordfish from China ","09-04-2021 15:14:41","Italy","border rejection notification","not serious","","","","","","",""
"2021.1751","bivalve molluscs and products thereof","food","Shell clams (Live bivalve molluscs) withdrawn and recalled following closure of a French production area : risk of amnesic shellfish poison (ASP) contamination ","08-04-2021 12:14:41","France","information notification for attention","serious","","","","","","",""
"2021.1712","fish and products thereof ","food","Pescado rotura cadena frío de Papeete (Polinesia Francesa) / Poor Temperature control - rupture of the cold chain - of frozen fish from Papeete (French Polynesia)","06-04-2021 16:39:12","Spain","border rejection notification","not serious","","","","","","",""
"2021.1677","fish and products thereof ","food","high content of mercury in swordfish from Spain","01-04-2021 17:30:34","Belgium","information notification for attention","serious","","","","","","",""
"2021.1615","fish and products thereof ","food","Salmonella in gray fish powder from the Netherlands","30-03-2021 17:27:54","Germany","alert notification","serious","","","","","","",""
"2021.1533","fish and products thereof ","food","Attempt to illegally import (unsatisfactory identity check) frozen codfish filets from China","25-03-2021 16:55:36","Spain","information notification for attention","undecided","","","","","","",""
"2021.1520","bivalve molluscs and products thereof","food","Withdrawal and recall of oysters following a fishing area closure (risk of norovirus contamination)","25-03-2021 12:15:50","France","information notification for attention","serious","","","","","","",""
"2021.1476","fish and products thereof ","food","mercury in swordfish from Morocco","23-03-2021 13:58:00","Spain","border rejection notification","serious","","","","","","",""
"2021.1462","fish and products thereof ","food","Cadmium exceeding regulatory maximal level in fish (Katsuwonus (Euthynnus) pelamis from Ecuador ","22-03-2021 18:44:14","France","information notification for attention","serious","","","","","","",""
"2021.1385","fish and products thereof ","food","Histamine and cadmium in Tuna Fish from Pakistan","17-03-2021 16:31:06","Netherlands","information notification for attention","serious","","","","","","",""
"2021.1381","feed materials","feed","Salmonella in fish meal from Peru, via France","17-03-2021 15:23:21","Belgium","information notification for follow-up","not serious","","","","","","",""
"2021.1049","fish and products thereof ","food","Mercury (>1,5mg/kg) in chilled swordfish (Xiphias gladius) CHEDP.ES.2021.0006236","02-03-2021 14:06:02","Spain","information notification for attention","serious","","","","","","",""
"2021.0786","fish and products thereof ","food","Poor temperature control - rupture of the cold chain - of dogtooth grouper (Epinephelus caninus), red scorpionfish (Scorpaena scrofa) and squids (Loligo vulgaris) from Senegal","15-02-2021 15:55:15","Spain","border rejection notification","not serious","","","","","","",""
"2021.0581","cephalopods and products thereof","food","too high content of cadmium in cuttlefish (sepia aculeata) frozen","05-02-2021 10:28:23","Switzerland","alert notification","serious","","","","","","",""
"2021.0451","fish and products thereof ","food","Unauthorised irradation of catfish","29-01-2021 12:55:03","Belgium","border rejection notification","undecided","","","","","","",""
"2021.0169","fish and products thereof ","food","unauthorised irradiation of frozen catfish from Vietnam","13-01-2021 12:33:22","European Commission","border rejection notification","not serious","","","","","","",""
"2020.5932","crustaceans and products thereof","food","Chlorate in crayfish from Spain","21-12-2020 18:29:17","Germany","information notification for follow-up","not serious","","","","","","",""
"2020.5903","fish and products thereof ","food","Mercurio in filoni di pesce spada decongelato sottovuoto- mercry in vacuum-packed defrosted swordfish","21-12-2020 10:39:05","Italy","alert notification","serious","","","","","","",""
"2020.5772","fish and products thereof ","food contact material","Salmonella detected in Fish Maws","15-12-2020 16:36:39","United Kingdom","information notification for attention","undecided","","","","","","",""
"2020.5752","compound feeds","feed","PRESENCE OF RUMINANT DNA IN FISH FEED FROM SPAIN","15-12-2020 12:07:50","Cyprus","information notification for follow-up","not serious","","","","","","",""
"2020.5103","cephalopods and products thereof","food","Labelling deficiencies for yellow fish from the United Kingdom","27-11-2020 12:32:09","Germany","information notification for attention","undecided","","","","","","",""
"2020.5366","cephalopods and products thereof","food","Cadmium in frozen whole round cuttlefish (Sepia pharaonis) from Vietnam","27-11-2020 11:07:56","Switzerland","alert notification","serious","","","","","","",""
"2020.5331","fish and products thereof ","food","presenza di mercurio // mercury in vacuum-packed defrosted swordfish from Spain","26-11-2020 14:38:06","Italy","information notification for attention","serious","","","","","","",""
"2020.5235","fish and products thereof ","food","mercury in vaccum packed defrosted swordfish loins","24-11-2020 14:51:26","Italy","information notification for attention","serious","","","","","","",""
"2020.5199","fish and products thereof ","food","fish:dioxines","23-11-2020 13:42:29","Belgium","information notification for attention","serious","","","","","","",""
"2020.5195","soups, broths, sauces and condiments","food","Tartufetta 80g _Allergene pesce non dichiarato per errata etichettatura del prodotto- Fish allergen not declared due to incorrect  label","23-11-2020 13:21:13","Italy","alert notification","serious","","","","","","",""
"2020.5012","fish and products thereof ","feed","Whole gutted frozen catfish unauthorised irradiation","13-11-2020 16:17:57","Italy","information notification for attention","not serious","","","","","","",""
"2020.4916","fish and products thereof ","food","MERCURY IN SWORDFISH (XHIPIAS GLADIUS) FROM SPAIN","10-11-2020 16:04:04","Spain","alert notification","serious","","","","","","",""
"2020.4903","fish and products thereof ","food","presenza di mercurio oltre i limiti in pesce spada affumicato- Hg in chilled smoked swordfish ","10-11-2020 12:15:24","Italy","alert notification","serious","","","","","","",""
"2020.4851","fish and products thereof ","food","pesce spada hg // unofficial translation: mercury in swordfish from Spain","09-11-2020 11:17:15","Italy","alert notification","serious","","","","","","",""
"2020.4780","feed materials","feed","identificare ADN de la rumegatoare in furajul pentru hranirea pestilor//identification of DNA from ruminants in fish feed","05-11-2020 16:36:59","Romania","information notification for attention","not serious","","","","","","",""
"2020.4756","fish and products thereof ","food","Too high content of mercury in swordfish from Spain","05-11-2020 10:46:49","Germany","information notification for attention","serious","","","","","","",""
"2020.4697","fish and products thereof ","food","mercury in thawed swordfish loins (Xiphias gladius) from Spain","03-11-2020 12:59:28","Italy","information notification for attention","serious","","","","","","",""
"2020.4688","fish and products thereof ","food","Mercury in chilled fillets of swordfish from Seychelles","02-11-2020 17:38:15","France","information notification for attention","serious","","","","","","",""
"2020.4581","pet food","feed","KOI fish feed","28-10-2020 10:14:32","United Kingdom","border rejection notification","undecided","","","","","","",""
"2020.4455","fish and products thereof ","food","Mercury in chilled swordfish (Xiphias gladius) from France","21-10-2020 16:37:50","Italy","alert notification","serious","","","","","","",""
"2020.4435","prepared dishes and snacks","food","presence of undeclared allergens fish and celery in club salad from Belgium","21-10-2020 12:35:09","Netherlands","alert notification","serious","","","","","","",""
"2020.4410","fish and products thereof ","food","SWORDFISH (Xiphias gladius) - Mercury -","20-10-2020 15:12:54","Italy","information notification for attention","serious","","","","","","",""
"2020.4347","fish and products thereof ","food","Mercury in frozen swordfish loins (Xiphias gladius) from Portugal","16-10-2020 11:50:02","Italy","alert notification","serious","","","","","","",""
"2020.4341","fish and products thereof ","food","mercury in fresh swordfish","16-10-2020 09:38:34","Belgium","information notification for attention","serious","","","","","","",""
"2020.4123","feed materials","feed","high content of enterobacteriaceae in fishmeal","07-10-2020 12:49:40","Spain","border rejection notification","not serious","","","","","","",""
"2020.3944","fish and products thereof ","food","Undeclared allergen (barley) in Iceland brand Fish Pie.","25-09-2020 18:17:27","United Kingdom","alert notification","serious","","","","","","",""
"2020.3869","fish and products thereof ","food","Mercury in swordfish from Mozambique","23-09-2020 10:02:30","Germany","border rejection notification","serious","","","","","","",""
"2020.3809","fish and products thereof ","food","mercury in swordfish from Mozambique","17-09-2020 16:50:04","Germany","border rejection notification","serious","","","","","","",""
"2020.3807","fish and products thereof ","food","mercury in swordfish from Mozambique","17-09-2020 16:26:12","Germany","border rejection notification","serious","","","","","","",""
"2020.3804","fish and products thereof ","food","mercury in fish","17-09-2020 15:21:39","Germany","border rejection notification","serious","","","","","","",""
"2020.3790","fish and products thereof ","food","Mercury in chilled swordfish","16-09-2020 12:04:37","France","border rejection notification","serious","","","","","","",""
"2020.3738","fish and products thereof ","food contact material","Smoked fish unfit for human consumption","14-09-2020 12:54:58","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.3722","fish and products thereof ","food","Attempt to illegally import smoked fish, prawns and chicken products from Ghana","11-09-2020 15:13:53","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.3701","fish and products thereof ","food","Mercury in Swordfish","10-09-2020 17:22:13","Germany","border rejection notification","serious","","","","","","",""
"2020.3641","fish and products thereof ","food","Parasitic infestation with Anisakis of chilled red scorpionfish (Scorpaena scrofa) from Morocco ","08-09-2020 16:26:35","Spain","border rejection notification","not serious","","","","","","",""
"2020.3592","other food product / mixed","food","Salmonella in mix of frozen precooked fish products","07-09-2020 12:20:54","Austria","alert notification","serious","","","","","","",""
"2020.3559","feed materials","feed","DDT / Ethoxyquin in marrokanischem Fischmehl /// DDT / Ethoxyquin in fishmeal from Morocco","03-09-2020 16:45:51","Germany","information notification for follow-up","undecided","","","","","","",""
"2020.3506","feed materials","feed","high content of enterobacteriaceae in fishmeal","01-09-2020 09:16:43","Spain","border rejection notification","no risk","","","","","","",""
"2020.3498","fish and products thereof ","food","mercury in chilled swordfish fillets from Mozambique","31-08-2020 16:08:40","Switzerland","information notification for attention","serious","","","","","","",""
"2020.3294","bivalve molluscs and products thereof","food","DIARRHETIC SHELLFISH POISON (DSP) - OKADAIC ACID IN LIVE MUSSELS (MYTILUS GALLOPROVINCIALIS) FROM ITALY  ","17-08-2020 10:16:50","Spain","information notification for attention","serious","","","","","","",""
"2020.3242","fish and products thereof ","food","poor temperature control of swordfish loins from Chile","12-08-2020 13:12:25","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.3214","fish and products thereof ","food","Mercury in frozen swordfish loins from Spain","10-08-2020 16:21:13","Italy","alert notification","serious","","","","","","",""
"2020.3097","feed materials","feed","Enterobacteriaceae in fishmeal (enterobacterias en harina de pescado)","30-07-2020 15:00:17","Spain","information notification for follow-up","not serious","","","","","","",""
"2020.3056","fish and products thereof ","food","Border rejection Temperature above 13 degrees in Fish (various species) from India","28-07-2020 15:16:10","United Kingdom","border rejection notification","undecided","","","","","","",""
"2020.3023","fish and products thereof ","food","Illegal import of smoked fish and meat products from Ghana","24-07-2020 11:21:41","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.2943","fish and products thereof ","food","MERCURY IN FROZEN SWORDFISH FILLETS (XIPHIAS GLADIUS) FROM SPAIN","17-07-2020 18:16:46","Spain","alert notification","serious","","","","","","",""
"2020.2908","cephalopods and products thereof","food","Cadmium in cuttlefish from Vietnam","16-07-2020 14:43:42","Germany","information notification for attention","serious","","","","","","",""
"2020.2868","feed materials","feed","Salmonella in fish meal from Latvia","14-07-2020 17:25:36","Lithuania","information notification for follow-up","not serious","","","","","","",""
"2020.2859","fish and products thereof ","food","Attempt to illegally import smoked fish from Nigeria","14-07-2020 14:55:45","United Kingdom","border rejection notification","serious","","","","","","",""
"2020.2521","fish and products thereof ","food","Clostridium botulinum in salted  dried fish from the Netherlands","19-06-2020 12:36:49","Cyprus","news","serious","","","","","","",""
"2020.2503","fish and products thereof ","food","Mercury in chilled swordfish loins from SPAIN","18-06-2020 08:11:01","France","information notification for attention","serious","","","","","","",""
"2020.2354","feed materials","feed","Salmonella spp in fish meal","09-06-2020 09:35:34","Spain","border rejection notification","not serious","","","","","","",""
"2020.2352","feed materials","feed","high content of enterobacteriaceae in fishmeal","08-06-2020 17:53:04","Spain","border rejection notification","not serious","","","","","","",""
"2020.2333","fish and products thereof ","food","mercury in swordfish","05-06-2020 16:05:01","Italy","alert notification","serious","","","","","","",""
"2020.2285","fish and products thereof ","food","Attemp to illegal import smoked fish from Nigeria","03-06-2020 16:00:56","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.2275","fish and products thereof ","food","Poor temperature control of swordfish and tuna loins from Seychelles","03-06-2020 10:22:01","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.2267","fish and products thereof ","food","Attempt to illegally import smoked fish and groundnuts from GH","02-06-2020 15:23:44","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.2255","fish and products thereof ","food","mercury in swordfish from Spain","01-06-2020 17:33:26","Italy","alert notification","serious","","","","","","",""
"2020.2169","fish and products thereof ","food","parasites in frozen fish from China - border rejection","26-05-2020 13:24:59","Poland","border rejection notification","not serious","","","","","","",""
"2020.2089","fish and products thereof ","food","Recall of Young's Seafood Breaded Fish Fillets because of undeclared milk","19-05-2020 16:46:30","United Kingdom","alert notification","serious","","","","","","",""
"2020.2087","fish and products thereof ","food","parasites in frozen fish from Chile - border rejection","19-05-2020 16:20:30","Poland","border rejection notification","serious","","","","","","",""
"2020.2086","feed additives","feed","Fluorine above legal limit in feed additive for fish feed","19-05-2020 15:15:26","Finland","information notification for follow-up","undecided","","","","","","",""
"2020.2075","fish and products thereof ","food","IRREGULAR IMPORT IDENTITY CONTROL OF FROZEN FISH FROM CHINA","18-05-2020 15:44:25","France","border rejection notification","not serious","","","","","","",""
"2020.2060","bivalve molluscs and products thereof","food","Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid in live mussels  from Italy","15-05-2020 16:52:52","Italy","alert notification","serious","","","","","","",""
"2020.2044","fish and products thereof ","food","UNAUTHORIZED SYNTHETIC COLOURING AGENT IN FROZEN FISH FROM GUYANA","15-05-2020 08:40:38","France","border rejection notification","serious","","","","","","",""
"2020.1982","feed materials","feed","Salmonella Livingstone in fish meal from the United States","12-05-2020 12:47:55","Greece","border rejection notification","not serious","","","","","","",""
"2020.1977","feed materials","feed","Salmonella Anatum in fish meal from the United States","12-05-2020 07:51:10","Greece","border rejection notification","not serious","","","","","","",""
"2020.1933","fish and products thereof ","food","Shrimp salad packed in salmon salad packaging - No mention of barley, celery and shellfish","08-05-2020 09:33:27","Belgium","alert notification","serious","","","","","","",""
"2020.1626","feed materials","feed","Salmonella in fishmeal from US","14-04-2020 10:30:42","Greece","border rejection notification","not serious","","","","","","",""
"2020.1461","feed materials","feed","Prohibited additive ethoxyquin in LIPOFISH 50","31-03-2020 11:56:26","Netherlands","information notification for follow-up","not serious","","","","","","",""
"2020.1429","feed materials","feed","S. Livingstone in fishmeal from US","27-03-2020 14:22:03","Greece","border rejection notification","not serious","","","","","","",""
"2020.1158","cephalopods and products thereof","food","cadmium in frozen whole cleaned cuttlefish from India","11-03-2020 14:35:33","Cyprus","border rejection notification","serious","","","","","","",""
"2020.1125","fish and products thereof ","food","parasitic infestation with Anisakis of chilled silver scabbardfish  (Lepidopus caudatus) from Morocco","09-03-2020 16:46:12","Spain","border rejection notification","not serious","","","","","","",""
"2020.1026","fish and products thereof ","food","attempt to illegally import smoked fish from Ghana","03-03-2020 17:17:23","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.1023","cephalopods and products thereof","food","CADMIUM IN FROZEN WHOLE CUTTLEFISH","03-03-2020 16:41:02","Cyprus","information notification for attention","serious","","","","","","",""
"2020.0845","fish and products thereof ","food","Too high levels of mercury in swordfish","19-02-2020 16:25:12","Germany","information notification for attention","serious","","","","","","",""
"2020.0786","fish and products thereof ","food","poor temperature control of the fish loaded from Seychelles","14-02-2020 17:31:22","Spain","border rejection notification","not serious","","","","","","",""
"2020.0785","fish and products thereof ","food","Cadmium in black scabbardfish (Aphanopus carbo)","14-02-2020 16:52:08","Switzerland","alert notification","serious","","","","","","",""
"2020.0652","fish and products thereof ","food","presence of Hg in fish","10-02-2020 14:45:40","Belgium","alert notification","serious","","","","","","",""
"2020.0619","nuts, nut products and seeds","food","illegal import of shelled groundnuts and smoked fish","07-02-2020 12:20:02","United Kingdom","border rejection notification","serious","","","","","","",""
"2020.0541","fish and products thereof ","food","poor temperature control of fish","04-02-2020 10:40:20","Spain","border rejection notification","undecided","","","","","","",""
"2020.0512","fish and products thereof ","food","Anisakis in cutlassfish from Morocco","03-02-2020 09:34:41","Spain","border rejection notification","undecided","","","","","","",""
"2020.0474","feed materials","feed","Salmonella Oranienburg in fish meal from  United States","30-01-2020 14:58:16","Greece","border rejection notification","not serious","","","","","","",""
"2020.0455","feed materials","feed","Salmonella Oranienburg in fishmeal from US","29-01-2020 15:29:26","Greece","border rejection notification","not serious","","","","","","",""
"2020.0428","feed materials","feed","Salmonella Oranienburg in fish meal from the United States","28-01-2020 16:32:59","Greece","border rejection notification","not serious","","","","","","",""
"2020.0400","feed materials","feed","Salmonella in fishmeal from US","27-01-2020 13:45:08","Greece","border rejection notification","not serious","","","","","","",""
"2020.0155","fish and products thereof ","food","S. Kentucky and S. Senftenberg in fish maws","10-01-2020 16:01:36","United Kingdom","information notification for attention","serious","","","","","","",""
"2020.0134","fish and products thereof ","food","Massive presence of Anisakis in chilled fish from Morocco","09-01-2020 16:26:53","Spain","border rejection notification","undecided","","","","","","",""
"2020.0132","nuts, nut products and seeds","food","attempt to illegally import of grounded Crayfish from Nigeria","09-01-2020 16:20:43","United Kingdom","border rejection notification","serious","","","","","","",""
"2020.0041","fish and products thereof ","food","Poor temperature control in Frozen Yellowtail Kingfish Seriola lalandi loin fillet from Australia","06-01-2020 09:18:49","United Kingdom","border rejection notification","not serious","","","","","","",""
"2020.0038","feed materials","feed","Salmonella Ohio in Fish meal","03-01-2020 16:46:12","Belgium","information notification for follow-up","not serious","","","","","","",""